社員番号,講師名,担当分野,雇用形態,開催日,研修名,担当コマ,参加人数,開催場所,単価
INS-004,高橋三郎,コンプライアンス,正社員,2024年01月24日,ハラスメント防止,1,27,オンライン(Teams),2439
INS-017,清水大輔,営業スキル,正社員,2024年01月24日,ネゴシエーション,1,11,新宿研修センター,2513
INS-017,清水大輔,営業スキル,正社員,2024年01月24日,ネゴシエーション,1,29,オンライン(Zoom),2513
INS-017,清水大輔,営業スキル,正社員,2024年01月24日,提案型営業,1,8,新宿研修センター,2513
INS-006,渡辺美咲,マネジメント,外部講師,2024年01月25日,1on1面談スキル,1,11,名古屋オフィス,7576
INS-006,渡辺美咲,マネジメント,外部講師,2024年01月25日,1on1面談スキル,1,14,名古屋オフィス,7576
INS-006,渡辺美咲,マネジメント,外部講師,2024年01月25日,コーチング入門,1,13,東京本社A会議室,7576
INS-015,木村隆二,コンプライアンス,外部講師,2024年01月25日,個人情報保護法,1,26,大阪支社会議室,7153
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月25日,データ分析基礎,1,15,新宿研修センター,3840
INS-008,中村真理,IT・デジタル,正社員,2024年01月26日,クラウド活用研修,1,13,新宿研修センター,2698
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月26日,コンプライアンス概論,1,19,オンライン(Zoom),7927
INS-013,松本正樹,コンプライアンス,正社員,2024年01月26日,個人情報保護法,1,30,新宿研修センター,2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月26日,個人情報保護法,1,8,東京本社A会議室,2736
INS-008,中村真理,IT・デジタル,正社員,2024年01月29日,データ分析基礎,1,13,東京本社A会議室,2698
INS-008,中村真理,IT・デジタル,正社員,2024年01月29日,クラウド活用研修,1,5,東京本社A会議室,2698
INS-008,中村真理,IT・デジタル,正社員,2024年01月29日,クラウド活用研修,1,11,オンライン(Teams),2698
INS-008,中村真理,IT・デジタル,正社員,2024年01月29日,DX推進セミナー,1,19,新宿研修センター,2698
INS-005,伊藤四郎,マネジメント,外部講師,2024年01月29日,コーチング入門,1,30,大阪支社会議室,6299
INS-007,山本健太,コンプライアンス,契約社員,2024年01月29日,個人情報保護法,1,19,東京本社A会議室,3086
INS-019,斉藤哲也,IT・デジタル,契約社員,2024年01月30日,データ分析基礎,1,18,新宿研修センター,3840
INS-014,井上彩,語学,正社員,2024年01月30日,TOEIC対策,1,9,東京本社A会議室,2761
INS-014,井上彩,語学,正社員,2024年01月30日,ビジネス英語,1,24,オンライン(Zoom),2761
INS-014,井上彩,語学,正社員,2024年01月30日,TOEIC対策,1,24,新宿研修センター,2761
INS-013,松本正樹,コンプライアンス,正社員,2024年01月30日,内部統制基礎,1,7,大阪支社会議室,2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月30日,コンプライアンス概論,1,17,新宿研修センター,2736
INS-013,松本正樹,コンプライアンス,正社員,2024年01月30日,内部統制基礎,1,18,新宿研修センター,2736
INS-016,林奈央,IT・デジタル,外部講師,2024年01月30日,クラウド活用研修,1,30,東京本社A会議室,7358
INS-016,林奈央,IT・デジタル,外部講師,2024年01月30日,セキュリティ基礎,1,17,オンライン(Teams),7358
INS-016,林奈央,IT・デジタル,外部講師,2024年01月31日,データ分析基礎,1,30,大阪支社会議室,7358
INS-016,林奈央,IT・デジタル,外部講師,2024年01月31日,Pythonプログラミング入門,1,6,名古屋オフィス,7358
INS-016,林奈央,IT・デジタル,外部講師,2024年01月31日,DX推進セミナー,1,21,大阪支社会議室,7358
INS-016,林奈央,IT・デジタル,外部講師,2024年01月31日,Pythonプログラミング入門,1,29,オンライン(Zoom),7358
INS-018,山口遥,語学,外部講師,2024年01月31日,英文ビジネスライティング,1,26,新宿研修センター,5384
INS-018,山口遥,語学,外部講師,2024年01月31日,ビジネス英語,1,13,オンライン(Zoom),5384
INS-020,池田美穂,営業スキル,正社員,2024年01月31日,顧客対応基礎,1,12,オンライン(Zoom),2450
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月31日,ハラスメント防止,1,23,大阪支社会議室,7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月31日,コンプライアンス概論,1,30,オンライン(Teams),7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月31日,コンプライアンス概論,1,27,大阪支社会議室,7927
INS-012,山田早苗,コンプライアンス,外部講師,2024年01月31日,個人情報保護法,1,23,東京本社A会議室,7927
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月31日,セキュリティ基礎,1,11,名古屋オフィス,2527
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月31日,DX推進セミナー,1,22,大阪支社会議室,2527
INS-011,吉田拓也,IT・デジタル,正社員,2024年01月31日,DX推進セミナー,1,10,名古屋オフィス,2527
